review,sentiment,theme
the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps,NEGATIVE,Other
hojii bonsaadha,POSITIVE,Other
user-friendly apps.because this app is easy.,POSITIVE,Other
Awosome!!!,POSITIVE,Other
"Very good app,",POSITIVE,Other
sync problem may 22 2025 but the date stack on may 8 2025 help pls,NEGATIVE,Customer Support
ይህ መተግበሪያ በጣም ጥሩ ነው. this app is very nice,POSITIVE,Other
I hate this app 😒,NEGATIVE,Other
trustful,POSITIVE,Other
I like,POSITIVE,Other
update issue,POSITIVE,Other
its not working over safari network,NEGATIVE,Other
oldie,NEGATIVE,Other
it doesn't work,NEGATIVE,Other
"This app is good, and we are using it well",POSITIVE,Other
very nice 👌 app for android phone,POSITIVE,Other
Yes Yes,POSITIVE,Other
በጣም ከርፋፋ,NEGATIVE,Other
easy to use helpful in my life,POSITIVE,Customer Support
good 👍,POSITIVE,Other
the best mobile banking app,POSITIVE,Other
"this app is very useful app,it saves time,and it is secure",POSITIVE,Other
it's a good application 👍,POSITIVE,Other
the screenshot and the reffresh options are so annoying that makes transaction so delaying activity !,NEGATIVE,Transaction Speed
poor service,NEGATIVE,Other
amazing,POSITIVE,Other
it is reliable and easy to use.,POSITIVE,Other
the most annoying mobile banking app I've ever seen,NEGATIVE,Other
Cbe mobile banking,POSITIVE,Other
"i can't make Screenshout in this app, please made modification",NEGATIVE,Other
Best app I loved it,POSITIVE,Other
nice app,POSITIVE,Other
Amazing applicatiom sometimes doesnt work!,NEGATIVE,Other
well satisfied with this beautiful app,POSITIVE,Other
very good,POSITIVE,Other
best app.,POSITIVE,Other
"not working,why???",NEGATIVE,Other
Great impact but why Developer option turnoff if you fix 🙏 🙏 🙏,NEGATIVE,Other
always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!,NEGATIVE,Other
woxe harimo ribiso,NEGATIVE,Other
"Good ,easy to use",POSITIVE,Other
Good app,POSITIVE,Other
Good job👍,POSITIVE,Other
"Please kindly ask to update the app and allow us to screenshot, it's convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen.",POSITIVE,Other
I have using the CBE mobile banking app. and overall i appreciate its Feuteres However i.ve Notticed that when i turn on the Developer options on my divice the App.Stop Functioning prorerly It.Would Be Great If You could look into This issue as l often need to access Developer setting for Otter Application ThankYou For Your attention to This Matter,NEGATIVE,Other
customer service is bad nothing is good about this bank,NEGATIVE,Customer Support
It is Amazing Mobile Banking App....But why the screenshot of the receipt doesnt work,NEGATIVE,Other
fast and simple easy to use 👌,POSITIVE,Other
The fastest transferring app I ever had its so reliable,POSITIVE,Other
"Funds transferred from the same bank do not reflect in the account, even though a confirmation text message was received.",NEGATIVE,Other
it's easy and fast,POSITIVE,Other
This app don't have self activation only you have to look near cbe branch that's disgusting,NEGATIVE,Other
hello dearest CBE office personnel make some benefits for those using interest free accounts thanks for your help,POSITIVE,Customer Support
wow best application ever,POSITIVE,Other
"Am sorry but what does developer mode do to the application ? hack it ? are you sure you are developer or are you stupid, doesnt makes sense,",NEGATIVE,Other
the pride of Ethiopian bank 🏦,POSITIVE,Other
why the app telling me to turn of developer options please fix it.,NEGATIVE,Other
i am very happy . i have small prob. after i transfer i cant put the transfer cashe bil to my dic.,POSITIVE,Other
amazing apps,POSITIVE,Other
All service of Mobile Banking,POSITIVE,Other
needs improvement,NEGATIVE,Other
i miss the old one i couldn't send my mony to other bank..,NEGATIVE,Other
the app is recently crushing each time you open and try to make transfers...it used to be good. take lessons from the Dashen Super app or ethiotelecom. it is not befitting of your experience and glory. inv3st in making it more friendly and convenient. I am considering leaving CBE for good.,NEGATIVE,Other
good but these week not oky,NEGATIVE,Other
well designed! Fixing bugs & two step verification with biometric... simply it's great!,POSITIVE,UI/UX
If any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times.,NEGATIVE,Other
"it's a great job.but one more thing, it hasn't been placed for transfer to other banks on face like mobile charge card place",POSITIVE,Other
CBE mobilr bankg,POSITIVE,Other
verygood,POSITIVE,Other
ممتاز جدا,NEGATIVE,Other
it's very low quality application,NEGATIVE,Other
Very Amazing Apps,POSITIVE,Other
አዛ,NEGATIVE,Other
wow simple life,POSITIVE,Other
it's nice,POSITIVE,Other
Why stacked sometimes,NEGATIVE,Other
okay 👍 but sometimes busy,NEGATIVE,Other
the worst commercial company that fails to do even the most normal things again and and again.,NEGATIVE,Other
Very good app. but disappointed by general cessation of system.,NEGATIVE,Other
Good and fast,POSITIVE,Other
Unreliable!,NEGATIVE,Other
Best the best fast,POSITIVE,Other
happy,POSITIVE,Other
fast and reliable,POSITIVE,Other
network errorrrrrr,NEGATIVE,App Stability
Best app but there is some problem I can't send money to telebirr or mpesa so if you can add that it could be use full,NEGATIVE,Other
its good and simple to use,POSITIVE,Other
worest app like that bank for security and network access,NEGATIVE,Other
it's the best app i,POSITIVE,Other
not bad not good,NEGATIVE,Other
its very nice,POSITIVE,Other
do not work this week,NEGATIVE,Other
It crashes frequently,NEGATIVE,App Stability
the best,POSITIVE,Other
"I can simply describe this app as ""Making all your work easier"".",POSITIVE,Other
goid,NEGATIVE,Other
best appearance,POSITIVE,Other
it's very good 👍 app,POSITIVE,Other
I need support you,NEGATIVE,Customer Support
the worst Mobile banking i have ever seen in my life,NEGATIVE,Other
super,POSITIVE,Other
ጠጀጨገጀ።ጀገ,NEGATIVE,Other
i like the app,POSITIVE,Other
the Best,POSITIVE,Other
to other bank is bad,NEGATIVE,Other
tank's,NEGATIVE,Other
its good but add more features such like. bank statement showing,POSITIVE,Other
it is so nice,POSITIVE,Other
Very Good👍,POSITIVE,Other
"my first frequent experience of cbe app is critical-time failure such as suspending payment on air for 2-5 days with zero explanation, deducting from sender account without depositing to the receiver act. Another fatal error by the banking company as a whole (not the app itself though) is forced-banking with corporations without consent of employers-users of the corresponding corporations",NEGATIVE,App Stability
"wow, amazing app",POSITIVE,Other
use ful,NEGATIVE,Other
Great app,POSITIVE,Other
well app,POSITIVE,Other
Actually it is inactive,NEGATIVE,Other
"slow, only one account is used",NEGATIVE,Transaction Speed
always CBE is the leading Commercial Bank💪💪💪,POSITIVE,Other
i like it,POSITIVE,Other
why removing screenshot feature why?,NEGATIVE,Other
nice apps where network is good in connection,POSITIVE,Other
Thank you!!!,POSITIVE,Other
i can't take screenshot,NEGATIVE,Other
"every update was made the system better and better until the March 19th, 2025 update, not allowing us to screenshot. you guys didn't understand how much it's a really quick and significant thing. You add extra steps to us, which makes the process draw back",NEGATIVE,UI/UX
perfectly special,POSITIVE,Other
Fast and Reliable,POSITIVE,Other
The best application I have ever seen in Ethiopia banking industry.,POSITIVE,Other
great app!!!,POSITIVE,Other
because sometimes it doesn't working it load too much,NEGATIVE,Other
"Absolutely the best app! It works flawlessly, anytime and anywhere.",POSITIVE,Other
very nice app ever!!!,POSITIVE,Other
the best app,POSITIVE,Other
Biometric security for mobile banking is not available,NEGATIVE,Other
great,POSITIVE,Other
Nice service,POSITIVE,Other
great app,POSITIVE,Other
it's special apps,POSITIVE,Other
"In the updated version of the app, it takes more time to download the receipt.",NEGATIVE,Other
ለምንድነው ትራንዛክሽን ትንሽ ብቻ የሚያሳየው ?,NEGATIVE,Other
Good 🔥,POSITIVE,Other
very interesting app i am using every day fantastic,POSITIVE,Other
lebaa bank,NEGATIVE,Other
Can't scan/recognize other banks' Interoperable QR Codes,NEGATIVE,Other
OK,POSITIVE,Other
grateful app,POSITIVE,Other
100% ❤️❤️❤️🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,POSITIVE,Other
everthing wellbeok,NEGATIVE,Other
"""This mobile banking app is fast and user-friendly, but the only issue I encountered is that I can't access my bank statement within the app. I kindly request that this feature be added, similar to what is offered by other private bank mobile banking apps.",NEGATIVE,Other
nice app 👌,POSITIVE,Other
why did this app is not screenshot,NEGATIVE,Other
it so good app,POSITIVE,Other
جميل,POSITIVE,Other
"less network, specially to make fee for utility purpose",NEGATIVE,Other
simply for used,NEGATIVE,Other
wow keep up,POSITIVE,Other
its great app but when updating we can't take screen shot please try to fix it,NEGATIVE,Other
good one,POSITIVE,Other
everything is easy thank you cebe,POSITIVE,Other
ፈጣን ቀልጣፋ,NEGATIVE,Other
ጎበዝ,NEGATIVE,Other
but this app says can't sync,NEGATIVE,Other
waw,NEGATIVE,Other
to slow,NEGATIVE,Transaction Speed
work on screen shot system,NEGATIVE,Other
very very nice aplication,POSITIVE,Other
wonder full and it is easy to use,POSITIVE,Other
easy and reliable,POSITIVE,Other
it is Very Useful app 👍,POSITIVE,Other
perfect app,POSITIVE,Other
I like it.,POSITIVE,Other
bugs,NEGATIVE,App Stability
commerial Bank,NEGATIVE,Other
Genat biru,NEGATIVE,Other
🙏,NEGATIVE,Other
it is good but it doesn't allow screen shot,POSITIVE,Other
the best one,POSITIVE,Other
You need to copy many things from other bank apps like Amole(Dashen),NEGATIVE,Other
bring back the screenshot feature.,POSITIVE,Other
Good!👍,POSITIVE,Other
best app to experience him that to smooth transaction among the customers,POSITIVE,Customer Support
nice app suitable to use it. the only weak side is it need data connections and hoping will be fixed to offline i gave 4 rate,NEGATIVE,UI/UX
easy to use,POSITIVE,Other
"Good job to the CBE team on this mobile app! It's designed in a way that's simple and intuitive to navigate, which is great for everyone. It effectively handles the essential banking tasks I need to perform regularly. It's a practical and reliable tool that makes everyday banking much more convenient. Thank you for this useful application.",POSITIVE,UI/UX
ለኔ በጣም ምርጥ ነው ግን screenshot ማረግ ቢቻል ምርጥ ነበር,NEGATIVE,Other
before it was smooth and good. this time after the new update in 2025 i can not make screenshot of my recite. even the downlod button is very delayed in putting my recite in my gallery for simple proof. please fix this i am unable to show proof of payment to my clients. thankyou.,NEGATIVE,Transaction Speed
cool ❤,POSITIVE,Other
Best app,POSITIVE,Other
best banking App,POSITIVE,Other
satisfied,POSITIVE,Other
this app is very necessary app many people found it,POSITIVE,Other
cbe very active Bank I'm using CBE app very very satisfaction,POSITIVE,Other
It made life alot easier. I cant even imagine having to make all those transactions in person. So this app was crucial for me. Very good app. well done.,POSITIVE,Other
perfect,POSITIVE,Other
thankyou,POSITIVE,Other
I Like it,POSITIVE,Other
"I don't understand the reason, why I need to disable developer options to access the app, it has no security risks nor does it hinder the app's functionalities. This goes out to the dev, I hope your life is filled with inconveniences.",NEGATIVE,Other
smart app,POSITIVE,Other
isin ga'a,POSITIVE,Other
it's great,POSITIVE,Other
very good app and stars faction with work,POSITIVE,Other
It is excelent,POSITIVE,Other
Smart,POSITIVE,Other
በየወሩ አፕደት እየጠየቀኝ ነው ለነገሩ ብር ስሌለኝ ይሆናል እና ምን ለማለት ፈልገ መሰላቹ ወላህ ቼግሮኛል 🥺🥺🥺,NEGATIVE,Other
very interesting app,POSITIVE,Other
wow.......cbe.....keep it up.....!!!!!!,POSITIVE,Other
ጊዜን ቆጣቢ እና ህይወትን ቀለል ከሚያደርጉ ኢትዬጲያ ካሉ ፋይናንስ አፕልኬሽኖች ሁሉ ይሄ ይለያል,NEGATIVE,Other
Excellent🙏app,NEGATIVE,Other
the most useful,POSITIVE,Other
I am more satisfied in this app . More sure you have to secure.,POSITIVE,Other
Easy to use,POSITIVE,Other
"very good, but sometimes NUR CBE comes without my consent. even if I choose locked, it appears",NEGATIVE,Other
Excellent !!!,POSITIVE,Other
always we relay on,POSITIVE,Other
I'm lucky to have this🙏 thank you CBE.,POSITIVE,Other
it's need more improvement like Tellbirr.,NEGATIVE,Other
goode app,POSITIVE,Other
a very nice app.👍👍👍,POSITIVE,Other
safe easy & fast,POSITIVE,Other
it's good app,POSITIVE,Other
It is veary useful app but screen shout was impossible .solve this problem,NEGATIVE,Other
ጥሩ ነው,NEGATIVE,Other
እጅግ በጣም ጥሩ አፕ,NEGATIVE,Other
በጣም ሃሪፍ ነው ግን ብር በሚተላለፍበት ወቅት ተቀንሷል ይላል እላፊ መልክቱ ይደርሳል ግን አይቀንስም,NEGATIVE,Other
suitable app,POSITIVE,UI/UX
Dear cbe this app is not comparable with 21century and pls try to solve it.💀💀💀,NEGATIVE,Other
best transaction method of financial,POSITIVE,Other
#CBE is Now going to on the right Pathway/track/!! Thank you CBE one step ahead on payment platform app!!,POSITIVE,Other
It literarily don't work at all,NEGATIVE,Other
good give us plus,POSITIVE,Other
"Very good application. However, I have one functionality recommendation. What if you let the app transfer money to any telebirr account as for MPESA? By the way, I am not the only one to ask this. Thank you!",POSITIVE,Other
before update it was able to screenshot while after update I can't able to screenshot the transfere details,NEGATIVE,Other
Tnc Cbe,POSITIVE,Other
it is good app. But you have integrate cbe with cbe birr. to allow cardless withdrawal directly from our accout!,NEGATIVE,Other
great apps,POSITIVE,Other
Excellent,POSITIVE,Other
Great app!,POSITIVE,Other
CBE,POSITIVE,Other
very good 👍 👏,POSITIVE,Other
great when it works,POSITIVE,Other
"the app is very good, but why screenshots is impossible?",NEGATIVE,Other
excellent match application,POSITIVE,Other
The Best app😍😍😍,POSITIVE,Other
excellent app,POSITIVE,Other
easy to use and user friendly,POSITIVE,Other
very nice,POSITIVE,Other
አሪፍ ነው በተለይ የአሻራ ደህነቱ መረጋገጡ ተመችቶኛል,NEGATIVE,Other
well software,POSITIVE,Other
ጥሩ ነው አንዳንዴ ስታክ ቢያደርግም,NEGATIVE,Other
CBE very good apps,POSITIVE,Other
"This application fast, secure and more convenient. Thanks CBE",POSITIVE,Other
excellent service,POSITIVE,Other
it's best,POSITIVE,Other
Why didn't you display cash transactions and bank statement in the mobile banking app?,NEGATIVE,Other
Amazing app,POSITIVE,Other
our legitimate bank,POSITIVE,Other
Ever and never seen this kind of app I proud my CBE,POSITIVE,Other
very good and safe for me!,POSITIVE,Other
it is best bank,POSITIVE,Other
"very good, but sometimes....",POSITIVE,Other
ከአንድ መስሪያ ቤት ወይም ድርጅት ወይም ግለሰብ በርከት ላለ ሰው ሲላክ የላኪውን መስሪያ ቤት ወይም ድርጅት ወይም ግለሰብ እንዲያሳይ አታደርጉም ? ግለሰብ ለግለሰብ ወይም ለድርጅት ሲከፍል ያሳያል ።,NEGATIVE,Other
Why not allowed to pay for fuel?,NEGATIVE,Other
Really! this app is more simple to use at any time in every where also it's transaction quality between the users within the transaction receipt as abank that means this app is our bank on hand in mobile frankly I proud on this bank digital. I have no word to wrote ...... but it's have weakness on poor connection.,NEGATIVE,Other
ቆንጆ ነው,NEGATIVE,Other
Great version,POSITIVE,Other
Good and easy to use,POSITIVE,Other
nice app and fast money transfer,POSITIVE,Other
Really automated...,POSITIVE,Other
good App,POSITIVE,Other
bek betam kelal,POSITIVE,Other
ምርጥ አፕ ነው ተመችቶኛል❤❤,NEGATIVE,Other
Recently app keeps closing and the notification after says this app has a bug. Can you make an update please,NEGATIVE,App Stability
"very good, keep it up",POSITIVE,Other
there is some issue the process it delay,NEGATIVE,Transaction Speed
what an amazing application in Ethiopian Banking industry which is very interested one!,POSITIVE,Other
interesting,POSITIVE,Other
simple&fast!!!,POSITIVE,Other
it is very good app,POSITIVE,Other
It is very excellent anddynamic plus user friend all in one bank apps of the era. I loved it.,POSITIVE,Other
Very God thanks,POSITIVE,Other
The sum is good.,POSITIVE,Other
best of bests,POSITIVE,Other
am happy thank you CBE🫡,POSITIVE,Other
it's very nice 👍.,POSITIVE,Other
"The history sometimes misses transactions, tranfer to cbe birr debited but not really transferred, We need to really cop up with the world for real. The hacks and security problems, invest on and solve them.",NEGATIVE,Other
Very good,POSITIVE,Other
halan garidhaa cbe,POSITIVE,Other
best apps for useing,POSITIVE,Other
like it,POSITIVE,Other
Good apps ...But fix the screenshot its not easy like before ......,NEGATIVE,Other
l love it,POSITIVE,Other
"I am not exaggerating when I say that this application is one of the biggest players in the banking industry. It has simplified a lot of things for the user, even if the bank is in his pocket. But my opinion is (1), when we transfer money, there is a word limit on the (Note) at the end. Why can't we write our reason briefly? I don't understand why it is limited. On the other hand, there is no limit on the bank. Could you explain this? (2), when we pay for water, why is the code not mentioned",NEGATIVE,Other
in this update why screenshoot is disabled now it's not working,NEGATIVE,Other
"realy I donot seen like this application ! fast ,safe ande confortable",POSITIVE,Other
Excellent but needed upgrading!,POSITIVE,Other
goods app!! pleace update this apps??,NEGATIVE,Other
"The latest update prevents taking screenshots, which is really annoying! please allow us to take screenshots! we need it for evidence (particularly, in case of transfer failure!).",NEGATIVE,Other
Fantastic app! I appreciate it very much,POSITIVE,Other
Convenient app,POSITIVE,Other
Doesn't work properly. It crashes some many times. commercial bank of Ethiopia not only the application but also sending money to own CBE birr doesn't get your money in your bank account. forcefully you must wait 3-5 days to get your money back to your account. walk up CBE the world is going to decentralized finance.,NEGATIVE,App Stability
It crashes multiple times everytime you launch it. Fix it. Edit: crash fixed but screenshots has been disabled. I don't know who thought this was a good idea.,NEGATIVE,App Stability
why why u remove screen shoot😡😡,NEGATIVE,Other
"I fails mid transaction, No screenshot, download don't work, link shared not working bring back the old app this is usless",NEGATIVE,Other
very nice one,POSITIVE,Other
good application,POSITIVE,Other
problem solver and the best fast app,POSITIVE,Other
ምርጥ አፕሊከሽን ነው ገንዘብ ለመላክም ሆነ ለማንኛውም ነገር ተመችቶኛል በዚው ቀጥሉበት,NEGATIVE,Other
Please bring back the screenshot option. The screenshot download option takes like 15 second appear in gallery and most people don't know about it.,NEGATIVE,Other
you must added dark mode options ❗,NEGATIVE,Other
Thank you,POSITIVE,Other
cbe,POSITIVE,Other
ممتاز جدا جدا,NEGATIVE,Other
very nice and convenient app,POSITIVE,Other
there are to many bugs app keeps crashi ng and the update file seems to keep getting worse,NEGATIVE,App Stability
👍👍👍,NEGATIVE,Other
Great experience so far but why this app ain't working while developer mode is on?,NEGATIVE,Other
why did the screen shot stopped ?????,NEGATIVE,Other
it's genuine app..,POSITIVE,UI/UX
okay 👌👍,POSITIVE,Other
it's a very good application but sometimes it takes a long time to synchronize,NEGATIVE,Other
commercial dank...,NEGATIVE,Other
it's very good,POSITIVE,Other
it's not working,NEGATIVE,Other
"Hello, I’m facing a problem with the BOA Mobile app. Every time I enter my phone number and password, the app crashes and shows an error that says “BoaMobile closed because this app has a bug.” I tried updating, reinstalling, and clearing cache, but nothing worked. Please fix this bug in the next update. I really need access to my account. Thank you.",NEGATIVE,Account Access
exceptional,POSITIVE,Other
BoA Mobile good bank,POSITIVE,Other
this is worest app 24/7 loading,NEGATIVE,Transaction Speed
This App is not interest for Android phone Please update it .,NEGATIVE,Other
BoA system is confartable,NEGATIVE,Other
very nice Abyssinia bank is choice all,POSITIVE,Other
"this app, for me , is a waste of time. It doesn't work . I can't even long in, and it really piss me off. FIX THE PROBLEM",NEGATIVE,Other
Good service.,POSITIVE,Other
the app crush frequently,NEGATIVE,Other
You guys keeps getting worst,NEGATIVE,Other
"This app is a joke. It crashes more than it works, takes forever to load, and half the features are just decorative at this point. Can’t log in, can’t transfer money, can’t even check my balance without it bugging out. To the developer: Are you actually trying to make this work, or is this some kind of social experiment to test our patience? Did you build this in your sleep? Because it definitely looks like it. If this is your idea of a functional app, maybe consider a different career path🙏",NEGATIVE,UI/UX
BoA,NEGATIVE,Other
but not opening on android,NEGATIVE,Other
Worst App ever. Totally unreliable. And it didn't work at all for the last 4 months.,NEGATIVE,Other
ሞላዬ ከበደ,NEGATIVE,Other
"this app does no work on Samsung a51, it just gives a preview of the logo",NEGATIVE,Other
"i entered incorrect security question by mistake boa app lock pin forever, why is there no other options? ?? i contacted different branchs more then 4times but they didn't able to solve this issue .",NEGATIVE,Other
liking this application good 👍,POSITIVE,Other
"This app future is good, but there is problems with apps to reset and activate it, which is difficult even to the branch staffs, and it takes too long times to active at the branch plus most of the time high expected failure of activation after process at the counter and OTP sent not work",NEGATIVE,Other
it's really good 👍,POSITIVE,Other
Bad app . it stuck when you open and noting WORKS.,NEGATIVE,Other
"the app isn't working after it asked me the password it starts loading, but it doesn't open",NEGATIVE,Account Access
It keeps showing this pop up to turn off developer options even tho it's off! I had to turn on and then off to make it work! This is a horrible experience and needs a fix asap! Plus kinda slow.,NEGATIVE,Transaction Speed
yideg,NEGATIVE,Other
አይከፍትም እኮ,NEGATIVE,Other
great boa,POSITIVE,Other
boa of mobile backing,NEGATIVE,Other
faster bank of Abissinya,POSITIVE,Other
i would have given it a lower if it was possible because it crush so much and it take the bank so long to fix the bug,NEGATIVE,App Stability
it just doesn't work...so frustrating,NEGATIVE,Other
like,POSITIVE,Other
it's not work correctly... you must have update it,NEGATIVE,Other
"the app gets a considerable improvements like language , QR scanner and unlimited transfers survice. but BOA Please do alot on its fastness and convenient when we login and making a transactions.",POSITIVE,Account Access
after i typed in my password it says successfully logged out ...and goes back to the first page,NEGATIVE,Account Access
good but they don't update enough don't add new things,NEGATIVE,Other
thank you,POSITIVE,Other
it doesn't work period z slowest mobile banking ever i would rather use *815#,NEGATIVE,Transaction Speed
"after activated the application it not allowed to sign , automatically it is turn off In my phone, why ?",NEGATIVE,Other
this version is not working for me I cannot even buy card. I cannot send money,NEGATIVE,Other
"It can't actively on initialization, it says incorrect OTP getting the exact OTP",NEGATIVE,Other
always problematic hardly works,NEGATIVE,Other
considering the fact the bank is huge this app really bad you could do better,NEGATIVE,Other
"worst app and Bank ever u be ashamed, scammer",NEGATIVE,Other
great BoA,POSITIVE,Other
i have went to the bank so many times because i couldn't make any transaction i can only see my balance nothing else so what is the point of having mobile banking if i can't make any transaction with it please work in that,NEGATIVE,Other
there is no speed,NEGATIVE,Other
"For anyone who wants to download it, just don't!!!",NEGATIVE,Other
wonderful,POSITIVE,Other
all worck,NEGATIVE,Other
Loved it,POSITIVE,Other
Wow,POSITIVE,Other
"Edit: New bug, app not letting me type in my otp codes. Shameful Why does this app not allow me to use it while having developer options on? Did y'all consider that I might, perhaps, be an actual developer? Why am I expected to toggle the option on and off just to bank (restarting my phone when I do)? Why is the message labled as somthing that will ""smoothen"" the experience? This is like the most ""security consultant"" thing to implement in an app. Please invest in actual security, not this mess.",NEGATIVE,App Stability
Improved to be the best,POSITIVE,Other
"Decent, but there problems sometimes it says error When i transfer money but infact it transferred because of this bug i transferred 2 times instead of 1 and also we can't transfer money to others telebirr acc we only can to our self BOE Dev fix this !!!",NEGATIVE,App Stability
BoA Greqt Ethiopian bank.,NEGATIVE,Other
"The bug is still there,the app crashes every time i try to log in, especially in old phones like my Galaxy A32",NEGATIVE,App Stability
Almost better compared to cbe where it is not qualified for,NEGATIVE,Other
what awesome apps. it is very simple to use and more much important apps.,POSITIVE,Other
Wonderfull app,POSITIVE,Other
i can't use this app why?,NEGATIVE,Other
Worst mobile banking app I ever experienced I was blaming other apps but comparing with this they're too much better!!!! It clashes it takes much longer time to login while loading in short it's a complete of trash,NEGATIVE,Account Access
bro the worst app made by human kind!! as a software engineer it make me so sad seeing enterprise as big as BOA make apps like this. it is a disgrace for our country!!,NEGATIVE,Other
AGA B Girja Miss language of admin Afaan oromo & other Itoophiyaa languages,NEGATIVE,Other
"I downloaded the app for the first time while reading other customers reviews and as soon as i installed and opened the app it closes back automatically, what unserious bank, now i uninstalled the app immediately",NEGATIVE,Customer Support
It has good features but sometimes it doesn't work...0,NEGATIVE,Other
Very poor proformance,NEGATIVE,Other
It's not opening. Really frustrating,NEGATIVE,Other
Verry Amazing App from all IB,POSITIVE,Other
Not working on this days,NEGATIVE,Other
Thank you BoA,POSITIVE,Other
best banking app in the wworld,POSITIVE,Other
Nice app and it's easy to use,POSITIVE,Other
